v1,fips,cum_cases,cum_deaths,cases,deaths,date,state,week_case_diff,week_death_diff,week_case_growth,week_death_growth,day_case_diff,day_death_diff,day_case_growth,day_death_growth
3401,50,52,2,3,0,22mar2020,Vermont,3.80666248977032,1.09861228866811,1.727220948090484,1.09861228866811,1.386294361119891,0,-1.658228076603532,0
3456,50,75,2,23,0,23mar2020,Vermont,4.158883083359671,1.09861228866811,1.673976433571671,1.09861228866811,3.178053830347946,0,1.791759469228055,0
3511,50,95,7,20,5,24mar2020,Vermont,4.406719247264253,2.079441541679836,1.767661917648995,2.079441541679836,3.044522437723423,1.791759469228055,-.1335313926245227,1.791759469228055
3566,50,123,8,28,1,25mar2020,Vermont,4.653960350157523,2.19722457733622,1.763588592261359,2.19722457733622,3.367295829986474,.6931471805599453,.3227733922630511,-1.09861228866811
3621,50,158,9,35,1,26mar2020,Vermont,4.919980925828125,2.079441541679836,1.875458488104702,.980829253011726,3.58351893845611,.6931471805599453,.2162231084696358,0
3676,50,184,10,26,1,27mar2020,Vermont,5.049856007249537,2.19722457733622,1.717651497074333,1.09861228866811,3.295836866004329,.6931471805599453,-.2876820724517808,0
3731,50,211,12,27,2,28mar2020,Vermont,5.093750200806762,2.397895272798371,1.287087711036443,1.299282984130261,3.332204510175204,1.09861228866811,.0363676441708747,.4054651081081645
3786,50,235,12,24,0,29mar2020,Vermont,5.214935757608986,2.397895272798371,1.408273267838666,1.299282984130261,3.218875824868201,0,-.1133286853070032,-1.09861228866811
3841,50,256,12,21,0,30mar2020,Vermont,5.204006687076795,2.397895272798371,1.045123603717124,1.299282984130261,3.091042453358316,0,-.1278333715098845,0
3896,50,293,13,37,1,31mar2020,Vermont,5.293304824724492,1.945910149055313,.8865855774602389,-.1335313926245225,3.637586159726386,.6931471805599453,.5465437063680696,.6931471805599453
3951,50,321,16,28,3,01apr2020,Vermont,5.293304824724492,2.19722457733622,.6393444745669692,0,3.367295829986474,1.386294361119891,-.2702903297399115,.6931471805599453
4006,50,338,17,17,1,02apr2020,Vermont,5.198497031265826,2.19722457733622,.278516105437701,.1177830356563838,2.890371757896165,.6931471805599453,-.4769240720903096,-.6931471805599453
4061,50,389,17,51,0,03apr2020,Vermont,5.327876168789581,2.079441541679836,.2780201615400442,-.1177830356563838,3.951243718581428,0,1.060871960685263,-.6931471805599453
4116,50,461,20,72,3,04apr2020,Vermont,5.525452939131783,2.19722457733622,.4317027383250212,-.2006706954621511,4.290459441148391,1.386294361119891,.3392157225669634,1.386294361119891
4171,50,512,22,51,2,05apr2020,Vermont,5.627621113690637,2.397895272798371,.412685356081651,0,3.951243718581428,1.09861228866811,-.3392157225669634,-.2876820724517808
4226,50,543,23,31,1,06apr2020,Vermont,5.662960480135946,2.484906649788,.458953793059151,.0870113769896297,3.465735902799727,.6931471805599453,-.485507815781701,-.4054651081081645
4281,50,575,23,32,0,07apr2020,Vermont,5.645446897643238,2.397895272798371,.3521420729187454,.4519851237430574,3.49650756146648,0,.0307716586667537,-.6931471805599453
4336,50,605,23,30,0,08apr2020,Vermont,5.652489180268651,2.079441541679836,.3591843555441585,-.1177830356563838,3.433987204485146,0,-.062520356981334,0
4391,50,628,23,23,0,09apr2020,Vermont,5.673323267171493,1.945910149055313,.4748262359056667,-.2513144282809063,3.178053830347946,0,-.2559333741372005,0
4446,50,679,24,51,1,10apr2020,Vermont,5.673323267171493,2.079441541679836,.3454470983819116,0,3.951243718581428,.6931471805599453,.7731898882334818,.6931471805599453
4501,50,711,24,32,0,11apr2020,Vermont,5.525452939131783,1.6094379124341,0,-.5877866649021193,3.49650756146648,0,-.4547361571149473,-.6931471805599453
4556,50,727,26,16,2,12apr2020,Vermont,5.375278407684165,1.6094379124341,-.2523427060064716,-.7884573603642704,2.833213344056216,1.09861228866811,-.6632942174102641,1.09861228866811
4611,50,748,27,21,1,13apr2020,Vermont,5.327876168789581,1.6094379124341,-.3350843113463648,-.8754687373539001,3.091042453358316,.6931471805599453,.2578291093020999,-.4054651081081645
4666,50,752,28,4,1,14apr2020,Vermont,5.181783550292085,1.791759469228055,-.4636633473511527,-.6061358035703157,1.6094379124341,.6931471805599453,-1.481604540924216,0
4721,50,759,29,7,1,15apr2020,Vermont,5.043425116919247,1.945910149055313,-.609064063349404,-.1335313926245225,2.079441541679836,.6931471805599453,.4700036292457355,0
4776,50,768,34,9,5,16apr2020,Vermont,4.948759890378168,2.484906649788,-.7245633767933244,.5389965007326871,2.302585092994046,1.791759469228055,.2231435513142102,1.09861228866811
4831,50,779,34,11,0,17apr2020,Vermont,4.61512051684126,2.397895272798371,-1.058202750330233,.3184537311185349,2.484906649788,0,.1823215567939545,-1.791759469228055
4886,50,803,36,24,2,18apr2020,Vermont,4.532599493153256,2.564949357461537,-.9928534459785272,.9555114450274365,3.218875824868201,1.09861228866811,.7339691750802002,1.09861228866811
4941,50,812,36,9,0,19apr2020,Vermont,4.454347296253507,2.397895272798371,-.920931111430658,.7884573603642704,2.302585092994046,0,-.9162907318741547,-1.09861228866811
